GPA	Algo	DataStructures	Complexity	MachineLearning	AI	Cryptography	Masters
85	65	80	70	70	90	70	no
87	70	65	65	85	80	90	no
94	80	85	90	90	80	60	yes
87	75	95	75	70	90	65	no
85	80	85	70	75	60	70	no
91	75	80	75	85	75	65	no
88	80	95	100	95	95	65	no
85	65	75	100	95	90	65	no
88	75	60	100	80	75	80	no
91	80	100	60	90	70	85	no
88	80	85	75	80	75	60	no
88	85	60	90	75	75	70	no
89	90	85	80	85	95	60	no
90	85	85	60	95	75	100	no
90	75	80	95	85	95	60	no
86	85	65	85	85	90	65	no
86	75	70	70	100	85	85	no
90	60	90	70	65	85	65	no
93	90	80	85	80	85	65	no
91	80	90	65	85	65	80	no
88	85	75	85	95	90	80	no
85	95	80	75	90	90	65	no
91	85	85	85	80	90	65	no
86	85	95	75	75	65	80	no
95	60	70	90	100	80	75	yes
87	85	70	65	95	90	65	no
90	80	85	90	80	90	70	no
88	85	95	70	75	90	60	no
88	85	75	70	95	70	70	no
86	65	85	60	85	100	80	no
87	75	85	95	90	70	70	no
90	75	80	80	70	60	80	no
85	80	90	70	70	70	70	no
87	75	85	85	75	80	60	no
89	60	75	75	75	70	70	no
94	70	70	95	65	90	70	yes
90	85	85	65	70	70	85	no
85	95	85	60	90	85	70	no
85	100	85	85	70	80	100	no
90	85	85	65	65	80	60	no
85	70	80	65	75	80	90	no
88	90	85	75	90	95	70	no
86	75	95	80	90	65	65	no
88	95	90	80	75	90	65	no
87	90	75	60	85	80	100	no
89	95	95	70	80	70	65	no
85	85	80	80	90	80	60	no
90	70	90	90	90	60	65	no
89	80	90	75	95	75	85	no
89	85	85	80	95	65	90	no
85	80	65	85	65	85	65	no
90	65	90	70	60	60	80	no
86	75	100	75	65	85	65	no
87	80	85	80	60	85	70	no
89	85	95	70	90	75	75	no
86	85	85	80	85	95	75	no
86	100	90	75	75	80	60	no
85	90	80	70	75	90	75	no
86	75	80	85	70	95	70	no
90	80	80	70	90	75	65	no
88	75	85	60	80	90	80	no
94	80	60	60	75	80	90	yes
86	90	85	85	80	80	65	no
88	80	80	75	85	75	70	no
85	80	95	75	75	85	70	no
90	75	70	80	90	95	85	no
88	80	85	70	85	85	70	no
90	85	65	75	85	90	80	no
86	75	70	75	80	95	65	no
89	85	90	75	90	85	65	no
86	75	60	95	95	75	80	no
88	80	85	65	80	80	70	no
88	90	80	95	75	90	65	no
89	80	85	70	80	80	80	no
90	85	80	75	75	90	60	no
86	65	85	80	85	80	100	no
85	80	80	75	90	65	60	no
90	85	80	75	85	75	80	no
86	95	85	100	90	95	75	no
93	85	70	60	75	90	80	no
87	85	75	70	80	90	75	no
88	60	75	80	90	80	75	no
85	80	80	70	90	80	75	no
86	85	90	70	85	60	65	no
92	95	95	75	75	85	60	no
88	90	60	75	90	95	70	no
92	75	80	90	85	75	90	yes
87	80	85	80	90	90	70	no
88	80	85	85	90	85	70	no
85	90	80	70	85	90	65	no
91	85	90	75	60	80	60	no
86	90	70	60	65	90	70	no
94	85	90	80	80	90	85	yes
89	80	85	90	75	80	70	no
86	100	80	70	95	95	70	no
90	80	75	80	80	80	65	no
85	75	70	70	90	85	65	no
85	60	90	60	65	75	80	no
85	80	80	80	60	90	65	no
91	70	75	60	70	75	80	no
88	95	85	75	80	90	70	no
90	85	90	75	90	95	65	no
89	70	85	75	85	90	60	no
86	75	75	95	90	80	60	no
87	70	70	90	85	75	65	no
85	85	65	60	80	70	85	no
86	85	70	60	65	75	65	no
87	70	100	65	75	75	70	no
87	65	90	80	80	60	60	no
93	75	95	90	90	90	65	yes
88	85	75	75	85	75	80	no
92	85	85	60	100	90	75	no
88	70	75	95	80	80	70	no
91	80	85	60	80	80	70	no
90	70	85	70	100	90	75	no
89	70	90	65	75	95	90	no
89	85	90	85	80	80	60	no
86	85	70	70	85	75	60	no
88	70	70	65	85	90	80	no
87	75	70	70	70	65	80	no
86	80	75	95	85	85	75	no
87	80	80	90	75	65	70	no
95	85	60	75	85	80	80	yes
91	75	90	70	85	80	65	no
88	85	70	85	90	60	85	no
87	80	65	75	95	85	80	no
88	75	75	75	95	65	95	no
92	85	65	60	90	85	90	no
87	85	75	65	60	80	100	no
93	85	90	75	80	85	80	yes
92	80	80	75	75	85	70	no
88	95	85	70	85	90	70	no
85	70	90	65	100	85	60	no
90	70	80	60	65	90	70	no
85	95	85	85	95	95	80	no
92	80	85	95	70	95	60	no
88	85	85	75	100	80	80	no
90	85	95	60	95	70	80	no
86	75	80	75	90	85	60	no
88	75	75	70	65	85	65	no
86	95	85	60	95	90	60	no
87	75	65	75	65	80	70	no
93	90	80	70	85	95	90	yes
95	65	90	85	95	90	70	yes
85	80	70	95	95	90	80	no
93	90	60	75	85	80	90	yes
88	90	75	75	80	65	90	no
88	75	85	95	65	75	70	no
89	70	75	75	90	80	60	no
88	90	75	75	75	85	85	no
85	95	60	75	90	75	65	no
90	75	65	85	90	85	90	no
90	85	80	65	65	90	80	no
85	80	65	85	75	90	85	no
92	100	80	65	85	80	60	no
87	95	85	75	80	95	65	no
89	85	75	90	80	90	75	no
89	75	70	75	80	90	75	no
86	75	100	60	90	95	75	no
90	100	95	70	85	90	75	no
87	80	80	85	90	70	60	no
94	95	95	75	100	75	80	yes
94	80	80	60	90	65	90	yes
92	75	85	85	65	85	75	no
86	60	90	90	90	85	65	no
87	80	100	70	80	80	60	no
85	90	70	70	90	90	80	no
91	70	70	75	75	90	70	no
88	70	70	95	80	85	80	no
93	95	65	70	80	75	70	no
85	100	60	70	65	90	70	no
88	65	80	65	60	85	80	no
86	80	85	90	90	70	80	no
89	85	80	65	85	65	65	no
88	85	85	65	95	85	60	no
92	85	65	65	80	75	90	no
86	70	80	65	70	85	70	no
85	65	75	75	85	85	70	no
92	80	70	75	90	95	60	no
86	85	90	80	80	60	70	no
87	60	90	90	75	70	70	no
90	80	80	85	85	100	80	no
92	85	90	70	80	85	85	yes
87	85	85	100	80	85	75	no
87	75	75	85	90	85	75	no
86	95	80	70	85	90	65	no
92	85	95	85	85	80	70	no
85	75	85	85	90	90	80	no
87	90	65	70	85	80	80	no
87	90	80	100	90	80	60	no
85	90	75	85	75	85	65	no
88	85	80	95	90	85	100	no
87	85	85	70	75	85	80	no
90	85	85	75	75	95	65	no
88	80	70	75	90	85	60	no
85	65	60	60	85	60	85	no
91	90	85	95	95	90	70	no
87	70	85	95	85	75	60	no
88	90	85	85	75	80	65	no
88	75	85	85	90	80	70	no
85	85	85	70	90	85	65	no
87	85	95	75	90	85	60	no
90	70	65	65	85	95	95	no
85	85	85	75	90	85	60	no
87	85	85	85	90	70	80	no
91	85	85	75	95	80	75	no
93	85	85	65	100	60	95	yes
95	95	75	65	60	80	75	yes
90	85	70	70	80	90	70	no
85	80	70	75	85	80	85	no
90	75	75	75	80	90	65	no
87	100	90	65	75	85	85	no
87	70	85	70	100	85	75	no
86	90	85	80	60	60	60	no
95	60	80	65	80	90	70	no
89	70	60	65	95	85	65	no
89	65	80	85	90	85	60	no
87	85	90	60	80	100	80	no
86	65	95	70	80	75	65	no
87	60	70	90	70	95	65	no
86	95	90	85	90	90	75	no
88	75	75	60	85	80	75	no
90	80	70	65	80	85	75	no
89	90	80	85	90	75	70	no
90	85	85	75	90	90	80	no
86	75	75	85	90	65	60	no
95	80	60	75	90	70	90	yes
85	80	95	85	90	80	80	no
88	60	70	65	80	75	60	no
89	90	90	60	75	85	60	no
91	80	100	85	80	95	65	no
90	70	80	100	80	85	60	no
88	70	90	75	95	70	65	no
92	80	65	80	100	75	90	yes
90	100	75	90	90	85	70	no
86	70	80	65	90	85	100	no
86	85	85	75	90	65	65	no
86	90	75	90	85	80	70	no
88	65	90	65	90	75	60	no
88	85	95	80	65	95	80	no
86	80	100	85	90	85	70	no
86	65	65	70	85	90	60	no
88	85	95	100	80	75	80	no
86	70	85	90	85	85	100	no
88	85	85	60	85	85	70	no
88	90	80	70	75	95	85	no
87	95	85	65	85	90	75	no
85	85	75	80	85	85	90	no
91	75	65	90	85	60	70	no
90	85	90	75	90	80	65	no
94	80	70	90	65	90	60	no
85	90	80	75	80	90	90	no
88	85	60	85	80	85	65	no
87	75	95	90	95	80	60	no
91	60	70	65	95	80	80	no
88	80	75	60	90	75	80	no
87	60	85	85	100	60	60	no
85	80	95	90	60	80	75	no
93	75	75	80	80	95	60	no
91	80	70	85	95	80	70	no
92	85	65	65	80	70	60	no
85	75	80	95	95	85	80	no
86	60	85	95	90	60	90	no
88	75	95	85	85	80	80	no
89	70	85	90	80	95	90	no
86	75	90	85	95	90	85	no
87	80	85	90	75	75	70	no
90	85	90	60	80	85	70	no
87	85	70	65	80	60	100	no
92	85	80	85	95	80	70	no
93	70	75	60	80	70	80	no
87	95	80	75	80	75	80	no
88	85	85	75	65	75	60	no
94	75	90	90	85	65	70	yes
85	80	95	70	85	70	60	no
89	85	60	75	85	95	75	no
89	80	80	70	90	80	80	no
88	75	85	60	95	80	65	no
94	85	70	80	75	75	85	yes
92	70	95	70	60	85	80	no
87	95	75	70	65	80	70	no
87	80	85	85	70	90	70	no
92	85	85	100	75	85	85	yes
85	85	70	65	95	80	80	no
85	80	70	100	60	80	65	no
88	65	80	75	75	80	80	no
95	80	85	60	90	80	70	yes
95	95	65	60	80	80	70	yes
91	75	90	70	85	85	80	no
85	85	90	85	80	80	80	no
94	85	65	90	80	95	80	yes
90	85	80	85	80	60	70	no
86	85	60	70	90	75	65	no
91	80	65	90	80	90	60	no
86	80	85	65	90	75	75	no
89	80	85	80	85	75	85	no
90	85	95	75	80	80	80	no
87	75	90	80	85	75	70	no
89	70	75	100	100	80	60	no
93	70	75	85	95	75	80	yes
90	85	80	90	80	80	65	no
87	65	75	75	85	85	60	no
85	85	100	85	85	60	65	no
87	95	75	75	95	85	80	no
89	70	85	90	80	100	90	no
88	95	70	70	90	95	60	no
88	80	85	80	80	70	60	no
91	70	90	75	85	80	70	no
88	60	80	75	65	85	70	no
87	95	85	85	80	95	80	no
89	85	70	75	95	90	70	no
85	85	90	70	90	80	80	no
89	90	75	70	60	75	60	no
90	65	80	85	90	95	80	no
85	95	90	75	85	80	65	no
89	90	85	80	85	100	65	no
85	80	95	75	75	85	65	no
85	85	70	75	85	80	90	no
90	95	70	60	90	85	85	no
85	80	80	100	90	90	95	no
86	80	95	75	60	60	70	no
85	100	80	75	90	85	70	no
90	70	80	85	65	90	80	no
89	80	80	65	85	85	80	no
88	100	85	70	100	95	60	no
91	75	65	100	80	95	60	no
85	75	85	100	95	90	65	no
95	60	65	80	60	80	75	no
88	80	80	70	90	80	85	no
90	80	85	75	65	75	75	no
86	75	85	80	85	90	75	no
90	75	75	70	60	90	80	no
89	70	85	85	95	75	60	no
87	85	70	95	90	60	80	no
85	60	90	90	90	95	70	no
86	80	65	85	80	75	70	no
93	85	75	85	90	95	60	no
90	85	90	85	70	85	70	no
87	95	90	60	80	60	80	no
94	60	75	90	95	95	80	yes
92	75	85	75	90	100	65	no
86	85	75	75	85	85	85	no
86	80	85	85	80	90	60	no
86	60	75	90	95	75	65	no
88	75	85	70	90	95	65	no
89	80	85	75	100	75	65	no
85	85	75	60	100	85	70	no
93	60	95	60	95	80	65	no
86	80	75	85	95	90	70	no
89	85	85	80	95	70	75	no
87	90	100	85	85	100	70	no
88	85	95	90	95	85	100	no
88	85	80	65	90	75	70	no
91	80	80	85	80	90	85	no
89	80	85	70	80	80	60	no
90	95	90	95	95	85	65	no
90	80	85	90	90	85	80	no
86	90	90	75	80	80	60	no
86	100	85	80	90	80	65	no
90	60	85	70	80	90	60	no
88	75	85	65	90	95	60	no
91	75	95	85	75	70	80	no
90	80	75	70	95	90	70	no
90	95	65	85	85	60	70	no
86	60	75	80	80	65	70	no
90	70	80	75	85	80	60	no
88	95	95	80	90	85	70	no
88	85	85	70	80	90	60	no
85	80	80	70	90	70	70	no
87	85	85	75	95	75	65	no
93	75	95	70	75	90	65	no
91	70	70	75	80	75	70	no
85	80	80	65	80	90	60	no
88	70	80	80	80	75	75	no
90	80	60	70	90	75	75	no
88	85	100	70	75	85	75	no
87	80	80	75	80	90	60	no
94	85	80	100	80	75	60	yes
86	80	85	70	75	100	75	no
85	75	75	60	90	90	70	no
87	60	80	95	80	80	70	no
88	80	80	70	80	80	70	no
92	85	95	65	85	85	65	no
92	75	80	70	65	100	70	no
85	90	70	95	80	95	60	no
89	80	85	70	95	75	75	no
91	75	80	70	85	90	65	no
92	90	100	95	70	90	80	yes
90	90	95	65	90	90	60	no
94	85	95	75	75	100	70	yes
86	80	90	70	65	90	70	no
85	90	90	75	90	90	65	no
88	80	60	60	95	90	70	no
94	85	85	75	75	80	80	yes
88	75	75	75	80	85	65	no
94	90	90	60	80	90	80	yes
88	85	80	65	90	90	60	no
85	85	85	85	70	75	65	no
86	65	100	85	100	85	90	no
85	60	70	65	85	60	70	no
85	75	80	100	60	95	80	no
86	85	85	85	80	85	65	no
86	100	80	70	95	85	70	no
86	85	75	85	100	80	80	no
90	90	75	75	90	90	70	no
85	70	60	70	75	65	80	no
86	80	95	80	70	95	70	no
85	85	80	75	100	80	70	no
90	95	65	65	60	85	75	no
90	85	80	65	80	80	65	no
88	75	75	70	90	90	70	no
85	80	80	85	95	60	65	no
95	60	75	75	75	85	60	no
93	85	85	85	75	80	75	yes
87	85	60	70	90	75	70	no
87	80	75	90	65	85	100	no
88	65	70	75	85	70	65	no
85	80	70	75	75	65	90	no
86	65	75	85	80	65	70	no
93	80	90	70	80	95	60	no
86	75	80	65	95	70	90	no
92	70	85	85	95	95	60	no
93	75	85	65	100	80	60	no
90	75	70	90	80	95	80	no
86	65	80	60	85	80	70	no
88	80	75	85	80	100	75	no
85	75	75	70	80	70	65	no
88	85	85	85	85	60	80	no
92	85	85	75	70	80	100	yes
93	85	75	90	75	90	65	no
90	80	70	85	90	85	80	no
88	90	90	90	85	95	65	no
90	75	65	70	80	75	100	no
89	85	85	65	95	85	60	no
89	95	95	75	65	100	60	no
88	65	70	70	80	65	90	no
85	85	85	85	80	90	80	no
92	90	85	90	85	90	65	no
89	65	85	70	100	80	85	no
87	90	80	75	60	85	70	no
88	90	80	70	70	80	80	no
89	80	80	90	80	90	65	no
90	80	95	70	80	85	65	no
92	60	75	70	90	90	60	no
88	95	80	80	95	90	85	no
95	85	100	85	95	85	60	yes
87	95	70	75	95	65	70	no
85	90	95	70	85	95	85	no
89	95	80	60	70	90	60	no
85	70	90	80	90	75	75	no
88	85	80	95	90	80	70	no
91	80	100	80	70	80	70	no
93	80	85	70	95	95	75	yes
87	75	60	70	85	75	75	no
92	80	80	90	85	60	85	no
85	85	70	75	95	95	80	no
89	85	75	70	70	80	75	no
86	80	80	65	75	85	60	no
86	85	80	75	80	80	65	no
91	80	80	60	80	75	90	no
90	85	70	75	85	85	85	no
89	95	80	75	90	90	65	no
90	90	85	75	80	90	70	no
91	80	85	95	95	85	70	no
88	80	80	80	85	95	70	no
91	85	100	90	85	65	90	yes
87	85	75	90	85	75	90	no
86	75	80	90	85	90	90	no
85	85	70	70	65	85	75	no
91	80	80	80	85	90	65	no
87	65	95	60	90	80	65	no
89	70	75	65	60	95	100	no
85	75	80	70	80	90	65	no
90	75	75	70	60	70	60	no
92	75	60	70	80	95	90	no
85	85	85	75	90	95	60	no
87	80	75	90	80	85	60	no
93	70	85	60	65	75	85	no
92	85	80	80	70	80	90	yes
85	65	80	100	75	60	70	no
86	65	60	85	95	75	80	no
89	85	75	70	80	95	70	no
88	80	75	75	85	65	90	no
91	70	65	70	85	95	70	no
93	75	75	85	70	90	60	no
90	85	60	60	65	60	70	no
89	100	75	70	70	90	75	no
89	90	80	85	95	85	70	no
91	80	80	75	85	80	70	no
86	70	75	95	85	65	80	no
88	75	85	85	85	75	80	no
90	85	80	80	90	85	70	no
93	90	85	70	90	90	80	yes
88	85	75	70	100	80	60	no
88	85	85	70	60	85	85	no
86	85	85	65	75	90	80	no
87	85	75	95	90	75	65	no
94	70	80	90	85	90	60	no
86	80	80	85	75	85	60	no
94	75	90	90	85	80	60	yes
90	90	80	65	75	90	85	no
86	80	70	80	100	85	70	no
89	85	80	85	75	90	75	no
85	80	95	65	80	75	70	no
87	85	70	95	80	75	75	no
86	85	80	65	90	60	60	no
85	75	85	70	70	80	80	no
89	75	90	95	90	90	80	no
93	90	95	75	80	90	70	yes
92	60	80	95	100	65	80	no
94	60	85	70	70	80	90	yes
86	75	85	75	70	100	65	no
86	90	75	95	75	90	75	no
93	95	75	65	75	70	70	no
95	75	90	75	60	85	65	yes
87	85	80	80	95	90	80	no
88	70	80	85	60	75	75	no
95	75	90	90	95	80	80	yes
88	90	65	85	95	85	65	no
89	90	75	90	85	75	80	no
87	75	90	80	85	75	65	no
88	95	75	60	90	80	60	no
89	85	85	80	80	85	60	no
90	75	85	60	95	85	75	no
88	65	90	70	90	90	65	no
91	65	85	85	80	95	65	no
91	80	85	65	80	80	80	no
91	90	75	80	85	85	65	no
90	75	95	100	100	80	65	no
86	80	80	75	85	90	65	no
85	75	70	85	95	80	60	no
94	75	85	90	80	100	85	yes
87	90	70	65	85	90	65	no
87	65	75	75	80	85	60	no
86	80	95	80	85	90	90	no
89	80	60	75	80	90	85	no
85	85	85	75	80	75	60	no
88	85	85	70	95	75	75	no
87	90	80	70	65	75	65	no
91	85	70	65	75	60	70	no
88	85	85	90	90	80	60	no
94	80	75	85	85	75	65	no
86	80	80	75	85	65	65	no
90	80	95	85	90	80	90	no
86	60	80	75	80	75	70	no
87	85	65	65	75	90	75	no
86	60	80	60	90	90	70	no
88	90	80	60	95	80	65	no
92	80	75	70	80	80	70	no
87	70	70	65	65	90	80	no
93	90	70	70	70	80	70	no
90	80	65	70	85	80	80	no
88	75	75	95	80	85	80	no
85	70	75	85	90	90	60	no
85	85	80	70	90	75	65	no
95	80	70	80	70	90	85	yes
88	80	80	85	80	95	85	no
88	80	75	85	90	75	90	no
85	80	75	65	70	85	70	no
92	85	60	95	80	85	60	no
89	90	80	75	95	65	60	no
90	90	80	65	90	60	60	no
94	100	80	65	80	80	75	yes
93	100	75	90	80	75	70	yes
87	90	85	65	90	80	60	no
85	80	80	75	85	85	65	no
88	70	90	60	95	65	80	no
92	80	60	85	85	80	80	no
88	70	95	75	75	90	75	no
90	90	90	65	85	75	70	no
89	80	65	80	95	90	65	no
95	75	80	70	95	85	60	yes
87	65	80	75	85	90	65	no
87	85	95	90	80	60	85	no
86	85	60	65	85	75	65	no
90	85	75	85	80	95	75	no
88	85	75	90	80	80	65	no
89	90	75	70	95	100	60	no
87	75	85	70	65	65	60	no
87	75	75	75	100	95	60	no
86	60	95	65	90	80	70	no
87	75	95	80	60	95	85	no
87	80	85	100	95	75	90	no
87	85	95	65	75	70	80	no
90	80	85	70	95	85	70	no
90	95	65	85	100	85	60	no
86	85	100	85	90	80	75	no
87	80	80	90	90	60	80	no
88	85	80	90	95	80	70	no
88	90	65	95	65	75	85	no
88	80	85	100	80	90	70	no
85	85	85	90	85	80	70	no
88	70	85	70	95	75	70	no
87	65	85	85	85	65	70	no
90	90	75	85	65	90	95	no
86	90	65	70	90	80	65	no
87	75	75	75	65	90	60	no
89	75	85	90	90	80	65	no
88	70	75	75	85	85	60	no
90	85	95	65	75	95	75	no
93	80	85	65	80	90	60	no
91	65	95	80	90	85	75	no
92	95	80	80	80	75	70	no
85	85	65	70	65	90	80	no
88	85	70	70	85	80	70	no
85	80	75	75	60	60	85	no
89	75	80	70	90	95	80	no
86	70	80	75	95	80	70	no
88	90	90	75	85	75	60	no
85	80	85	90	65	85	65	no
87	65	85	100	75	80	70	no
89	85	80	90	80	80	75	no
85	85	85	75	95	65	65	no
85	65	75	70	80	75	75	no
88	85	80	70	85	65	60	no
88	85	75	85	85	90	70	no
85	75	80	75	60	80	60	no
85	60	90	65	85	65	65	no
88	80	75	65	90	65	70	no
87	85	100	65	75	90	70	no
87	75	65	70	90	85	75	no
86	90	80	85	80	90	85	no
87	85	85	95	90	90	70	no
86	85	70	60	65	65	80	no
94	85	65	70	80	60	75	no
86	85	80	75	70	80	60	no
95	85	95	95	80	95	60	yes
86	75	85	85	75	75	65	no
88	90	90	70	90	80	70	no
93	65	75	80	95	80	85	yes
85	85	85	80	90	85	65	no
88	70	80	70	90	80	65	no
87	75	80	80	80	85	85	no
92	75	80	90	90	80	65	no
90	95	80	75	75	75	60	no
87	100	85	85	75	80	60	no
90	70	75	80	95	60	60	no
86	80	70	75	80	85	85	no
89	85	85	60	80	80	65	no
86	70	70	60	80	90	60	no
94	90	80	65	75	85	100	yes
87	70	90	85	80	85	60	no
86	95	70	85	95	80	80	no
88	95	85	70	100	90	65	no
90	80	95	65	80	65	60	no
88	70	100	75	90	75	70	no
88	85	85	75	90	75	75	no
86	90	80	70	60	100	100	no
86	70	90	65	90	80	70	no
86	75	85	75	85	80	65	no
85	75	85	75	90	80	60	no
87	80	85	90	95	90	65	no
89	75	85	85	90	90	70	no
88	75	85	85	95	90	60	no
85	85	75	70	85	90	70	no
87	80	85	75	85	90	65	no
88	85	65	90	80	90	70	no
85	80	75	90	80	95	70	no
86	85	95	70	70	95	60	no
90	65	80	80	95	90	65	no
91	75	75	60	75	80	100	no
86	80	85	60	90	90	90	no
93	80	65	95	90	65	60	no
90	95	95	65	75	85	75	no
91	90	65	65	90	90	80	no
87	60	85	85	95	90	65	no
90	85	70	75	60	85	60	no
91	75	90	70	100	85	60	no
89	80	80	75	90	65	65	no
86	80	80	75	80	80	70	no
87	100	75	80	90	90	70	no
88	75	70	100	90	60	80	no
93	80	95	85	85	75	70	yes
89	75	80	70	95	80	65	no
87	85	80	75	85	90	75	no
92	70	85	75	85	80	65	no
91	80	90	75	75	95	60	no
85	90	85	90	60	90	70	no
92	65	80	75	60	85	75	no
85	90	95	75	65	80	65	no
87	95	85	60	80	75	80	no
90	70	100	85	80	90	60	no
85	80	80	90	85	85	80	no
87	85	95	90	90	95	60	no
89	85	95	65	100	75	70	no
87	85	80	85	85	85	80	no
91	85	80	70	80	80	70	no
92	70	60	75	85	90	60	no
85	70	80	80	100	60	65	no
95	60	80	70	80	90	75	yes
89	80	75	70	60	75	60	no
94	80	90	80	80	75	70	yes
86	85	60	85	85	80	65	no
93	85	85	65	75	85	80	yes
85	70	85	60	80	65	70	no
86	85	90	85	80	65	60	no
89	85	85	85	90	80	80	no
85	80	90	75	85	60	65	no
86	70	80	80	65	80	65	no
88	85	70	75	90	80	85	no
88	75	75	95	70	90	70	no
87	80	75	70	100	75	65	no
86	65	60	70	80	85	95	no
87	80	80	85	80	80	60	no
85	85	90	60	60	85	65	no
85	85	75	70	60	75	100	no
87	75	75	75	95	90	65	no
92	80	85	70	70	85	80	no
91	100	90	65	75	65	80	no
85	75	85	80	85	60	75	no
85	80	80	70	100	90	65	no
85	75	100	60	75	85	65	no
85	80	90	80	85	90	60	no
86	70	85	70	60	60	65	no
89	75	80	70	80	60	85	no
88	80	85	75	85	80	60	no
86	80	80	70	80	90	75	no
89	80	75	70	80	70	60	no
89	90	80	90	65	85	70	no
90	85	85	65	80	70	60	no
85	60	80	65	75	65	90	no
91	90	80	60	90	60	60	no
91	80	75	75	85	90	70	no
87	75	80	90	70	85	65	no
87	85	80	60	90	100	80	no
88	75	65	95	85	75	100	no
88	75	75	80	70	60	80	no
85	65	90	60	80	80	70	no
85	90	75	70	85	85	75	no
90	90	85	90	60	85	80	no
92	80	75	65	90	85	60	no
92	80	95	60	80	85	65	no
92	90	95	100	85	80	70	yes
85	80	75	85	80	80	60	no
87	95	65	70	75	90	75	no
87	60	75	65	60	90	60	no
93	85	70	70	75	90	90	yes
85	75	100	85	65	100	60	no
87	60	90	75	75	60	65	no
85	75	85	60	70	90	60	no
86	85	90	80	75	80	70	no
88	75	75	65	60	70	85	no
89	85	75	85	95	85	80	no
87	90	75	80	95	65	65	no
87	95	85	80	65	95	85	no
85	85	85	85	85	80	100	no
92	75	75	60	95	75	70	no
88	75	85	80	95	80	65	no
88	85	90	90	65	80	85	no
86	80	70	65	75	60	60	no
88	85	85	70	95	80	80	no
87	90	85	80	85	85	75	no
91	70	60	85	75	95	85	no
90	85	65	70	95	95	65	no
85	85	95	75	80	85	65	no
94	70	80	100	85	65	75	yes
87	70	90	95	80	75	75	no
85	85	75	80	95	85	65	no
86	80	75	70	95	60	60	no
94	85	85	75	90	65	60	no
88	85	60	60	90	70	80	no
92	70	100	70	90	95	65	no
86	70	80	70	85	95	65	no
87	65	90	75	65	80	70	no
86	90	85	90	80	90	100	no
94	75	75	80	85	80	70	yes
88	80	75	75	95	90	85	no
88	85	85	60	85	80	60	no
88	85	75	60	85	80	65	no
89	75	65	95	75	90	60	no
85	85	70	80	95	60	65	no
